name,inn,legal_person,category,region,description,РРАР_score,site,contacts,source
BIG JACK,9717024629,"ООО ""БИГ ДЖЕК""",Event-management,Москва,"Event-агентство BIG JACK специализируется на организации масштабных деловых событий, корпоративных мероприятий, тренингов и тимбилдингов, конференций и семинаров, а также крупных промо-мероприятий (запуск новых брендов, открытие магазинов).",570,https://bigjack24.ru/,"7 985 760-08-01, sales@bigjack24.ru",https://alladvertising.ru/top/event-management/
Атомэкспо,7701597035,"ООО ""АТОМЭКСПО""",Event-management,Москва,"Компания «Атомэкспо» предлагает комплекс услуг в сфере организационной поддержки выставок, презентаций и других деловых мероприятий — от разработки концепции, подбора и оформления площадки до привлечения участников и информационной поддержки.",642,https://atomexpo.com/,"7 (499) 922-89-95, mail@atomexpo.com",https://alladvertising.ru/top/event-management/
ABD: Entertainment ,7723871115,"ООО ""АБД""",Event-management,Москва,"Event-студия «ABD: Entertainment» занимается организацией маркетинговых и деловых мероприятий, корпоративных и частных событий; разрабатывает креативные концепции и сценарии.",628,https://abd-ent.ru/,"7 (495) 107-05-24, info@abd-ent.ru",https://alladvertising.ru/top/event-management/
TWIGA,7726253808,"ООО РА ""ТВИГА""",Event-management,Москва,"TWIGA Communication Group — крупнейшая независимая коммуникационная группа на территории СНГ, предлагающая все виды услуг в области коммуникаций: реклама, продвижение продукции, стимулирование продаж, креатив, дизайн, BTL, PR, медиа, digital, маркетинг.",1870,https://twiga.ru/,"7 (495) 987-35-95, ask@twiga.ru",https://alladvertising.ru/top/event-management/
emg ,7701810493,ООО «ЭМГ»,Мерчандайзинг,Москва,"emg — одно из крупнейших российских агентств, занимающееся организацией интегрированных маркетинговых коммуникаций, масштабных BTL-акций, рекламных и PR-кампаний.",1202,https://emg.ru/,"7 (495) 797-86-64, emg@emg.ru",https://alladvertising.ru/top/merchandising/
DIXI PRO ,7718882418,"ООО ""ДИКСИ ПРО""",Мерчандайзинг,Москва,"РПК «DIXI PRO» оказывает полный спектр услуг в области оформления торговых пространств: разработка POS-материалов, изготовление специальных конструкций для ритейла, технический мерчандайзинг и т.д.",763,https://dixipro.ru/,"7 (499) 110-31-66, incor@dixipro.ru",https://alladvertising.ru/top/merchandising/
Zeytz ,7722713109,"ООО ""ЗЕЙТЦ ПРОДЖЕКТ""",Мерчандайзинг,Москва,"Группа ZEYTZ — эксперт в производстве рекламной, полиграфической, сувенирной и текстильной продукции, оформлении мест продаж, автоматизации рекламных поставок в федеральные сети. Компании принадлежат крупнейшая в России интерьерная латексная типография и швейный цех «Швейц» в Рязани.",812,https://www.zeytz.ru/,"7 (495) 662-97-85, welcome@zeytz.ru",https://alladvertising.ru/top/merchandising/
OPEN Group ,7725693725,"ООО ""ОУПЕН МСК""",Мерчандайзинг,Москва,"Агентство маркетинговых коммуникаций OPEN специализируется в области немедийных коммуникаций и предоставляет полный комплекс интегрированных маркетинговых услуг: мерчандайзинг и промо-активности в местах продаж, торговый маркетинг, организация мероприятий, продвижение в digital-среде. Агентство активно внедряет инновационные технологии в управление персоналом и мерчандайзинг.",1571,https://open-com.ru/,"7 (499) 649-00-80, sales@open-com.ru",https://alladvertising.ru/top/merchandising/
Инел-Дисплей ,5008036720,ООО «Инел-Дисплей»,Мерчандайзинг,Москва,"Компания «ИНЕЛ-ДИСПЛЕЙ» является одним из лидеров на рынке производства продукции для для оформления торговых точек и мерчандайзинга, а также проектирования и изготовления эксклюзивных POS-материалов POS для брендов: оформление магазинов и мест продаж (ценникодержатели, рамки, покупательские корзины), стимулирующее покупательскую активность; эксклюзивные POSM-конструкции для продвижения брендов в ритейле (рекламные стойки, полочные дисплеи, шелфсистемы, табачное оборудование).",760,https://inel-display.ru/,"7 (499) 350-22-00, info@inel-display.ru",https://alladvertising.ru/top/merchandising/
АЛИДИ Продвижение,7801379087,"ООО ""АЛИДИ ПРОДВИЖЕНИЕ""",Мерчандайзинг,Москва,"Агентство «АЛИДИ Продвижение» специализируется на маркетинговых и рекламных акциях по продвижению брендов в местах продаж — от разработки креативных концепций и производства POS-материалов до подбора персонала, услуг мерчандайзинга, обеспечения логистики и монтажа оборудования.",700,https://alidi-agency.ru/,"8 800 775-75-00, agency@alidi.ru",https://alladvertising.ru/top/merchandising/
RI Communication,7825382385,"ООО ""ЭР АЙ КОММУНИКЕЙШН""",Мерчандайзинг,Санкт-Петербург,"Весь спектр услуг в сфере событийного, торгового и потребительского маркетинга на территории России: взаимодействие с торговыми сетями и ведение взаиморасчетов с поставщиками услуг, организация промо-акций и проведение масштабных мероприятий, мотивационные программы, исследование рынка и аудит, разработка креативных сценариев и кадровый аутсорсинг.",665,https://ricommunication.ru/,"7 (495) 846-84-95, info@ricommunication.ru",https://alladvertising.ru/top/merchandising/
Progression Group ,7725641460,ООО «Прогрешен»,Мерчандайзинг,Москва,"Одна из крупнейших независимых групп на российском рекламном рынке, специализирующаяся на решении стратегических задач в области маркетинга, медиапланирования, BTL и мерчандайзинга, digital-коммуникаций.",1747,https://progressiongroup.ru/,"7 (495) 748-59-60, info@progressiongroup.ru",https://alladvertising.ru/top/merchandising/
Infinity Project ,7707778849,"ООО ""РПК ""ИНФИНИТИ""",Мерчандайзинг,Москва,"Infinity Project — рекламно-маркетинговое агентство полного цикла, помогающее брендам выстраивать коммуникацию с потребителями и партнёрами: разработка стратегий продвижения, организация спецпроектов и мероприятий, разработка сувенирной продукции, производство торгового оборудования, создание сайтов и контент-маркетинг.",611,https://infinity-project.ru/,"7 (495) 989-17-53, order@infinity-project.ru",https://alladvertising.ru/top/merchandising/
RED Agency,7714871694,"ООО ""РЭД ЭДЖЕНСИ""",Мерчандайзинг,Москва,"Агентство RED — это опытные специалисты российской BTL-индустрии, специализирующиеся на торговом маркетинге, организации промо-акций и мерчендайзинге в ритейле. Компания осуществляет полный спектр услуг в сфере BTL — от разработки стандартов мерчендайзинга, программ лояльности и промо-акций до сложных интегрированных проектов.",595,https://red-agency.ru/,"7 (495) 787-25-87, blue@red-agency.ru",https://alladvertising.ru/top/merchandising/
SEVEN ,7725611120,"ООО ""СЕВЕН""",Мерчандайзинг,Москва,"Одно из крупнейших агентств в области трейд-маркетинга на российском рынке, предоставляющее на федеральном уровне комплекс качественных услуг в области полевого маркетинга, мерчандайзинга и размещения POSM.",979,https://7-agency.ru/ru,"7 (495) 748-59-59, info@7-agency.ru",https://alladvertising.ru/top/merchandising/
POS Management /,7730638102,"ООО ""ПИ.О.ЭС. МЕНЕДЖМЕНТ""",Мерчандайзинг,Москва,"Агентство оказывает комплекс услуг в области торгового маркетинга и мерчандайзинга, помогая производителям и дистрибьюторам расширять сеть присутствия и продвигать продукцию в местах продаж.",580,https://posmanagement.ru/,"7 (495) 989-21-56, info@posmanagement.ru",https://alladvertising.ru/top/merchandising/
TR-Project,2310178862,"ООО ""ТИАР-ПРОДЖЕКТ""",Мерчандайзинг,Москва,"Федеральное маркетинговое агентство TR-Project предоставляет профессиональные и инновационные решения в сфере мерчандайзинга и консультирования, специальных мероприятий, креатива и дизайна.",1697,https://tr.marketing/,"7 (495) 647-95-77, tr-media@tr-media.ru",https://alladvertising.ru/top/merchandising/
Ace Target ,7728674590,"ООО ""ЭЙС ТАРГЕТ""",Мерчандайзинг,Москва,"Агентство Ace Target предлагает разработку и проведение долгосрочных и краткосрочных программ стимулирования розничной торговли, направленных на повышение покупательской активности потребителей и увеличение доли рынка компании в сегменте: торговый маркетинг, мерчандайзинг, POS-материалы.",1140,https://ace-target.ru/,"7 (495) 685-94-59, welcome@ace-target.ru",https://alladvertising.ru/top/merchandising/
POS Media Russia ,7710934030,"ООО ""ПОС МЕДИА РУС""",Мерчандайзинг,Москва,"Компания POS Media Russia специализируется на производстве и размещении эффективных POS-материалов в торговых сетях, разрабатывает стратегии, организует промо-акции и маркетинговые кампании.",545,https://www.pos-media.ru/,"7 (495) 181-16-81, info@pos-media.ru",https://alladvertising.ru/top/merchandising/
Реноме,7725529203,"ООО ""РЕНОМЕ""",Мерчандайзинг,Москва,"Рекламное агентство «Renommee» оказывает весь комплекс услуг в сфере BTL: производство и размещение POS-материалов, промо-акции, сэмплинг и дегустации, аудит и мерчандайзинг, букирование торговых сетей, программы лояльности и специальные мероприятия.",520,https://ra-renommee.ru/,"7 (499) 236-12-63, nslepova@ra-renommee.ru",https://alladvertising.ru/top/merchandising/
VIRTU,7706056030,"ООО ""ФИРМА ""ВИРТУ""",Оформление мест продаж POS,Москва,"Компания VIRTU является одним из лидеров на рынке производства POS-материалов и эксклюзивного торгового оборудования: дисплеи и стойки для выкладки продукции, прилавки и промо-стойки, полочные и напольные конструкции, диспенсеры и накопители, шелфтокеры, тестер-стенды, подиумы и демо-стенды, бэкволлы и корнеры и т.д.",959,https://www.virtu.ru/,"7 (499) 951-03-09, info@virtu.ru",https://alladvertising.ru/top/pos/
ПолиМетПром,7807064277,"ООО ""ПМП""",Оформление мест продаж POS,Санкт-Петербург,Полный комплекс услуг по разработке и производству оборудования рекламного назначения: от создания дизайна до поставки готовой продукции.,1310,http://pmp.ru/,"7 (812) 380-67-20, info@pmp.ru",https://alladvertising.ru/top/pos/
Public Totem ,7705407550,"ООО ""ПАБЛИК ТОТЕМ""",Оформление мест продаж POS,Москва,Рекламно-производственная компания Public Totem производит долгосрочные и краткосрочные промо-конструкции и POS-материалы для выкладки и продвижения товаров в местах продаж.,2453,https://publictotem.ru/,"7 (495) 797-45-42, info@publictotem.ru",https://alladvertising.ru/top/pos/
emg ,7701810493,ООО «ЭМГ»,Оформление мест продаж POS,Москва,"emg — одно из крупнейших российских агентств, занимающееся организацией интегрированных маркетинговых коммуникаций, масштабных BTL-акций, рекламных и PR-кампаний.",1202,https://emg.ru/,"7 (495) 797-86-64, emg@emg.ru",https://alladvertising.ru/top/pos/
Europos,7730592360,"ООО ""ЕВРОПОС ГРУПП""",Оформление мест продаж POS,Москва,"Поставки торгового оборудования для мерчандайзинга и POS-материалов: полочные ценникодержатели, держатели ценников, рамочные и подвесные системы, информационные системы, мерчендайзинг-оборудование, делители, элементы торгового оборудования, муляжи, противокражное оборудование и т.п.",1135,https://www.europos.ru/,"7 (495) 232-23-11, sales@europos.ru",https://alladvertising.ru/top/pos/
ВИТРИНА А ,5022068562,"ООО ""ВИТРИНА А ГРУП""",Оформление мест продаж POS,Москва,"Компания «ВИТРИНА А» является одним из основных игроков рынка POS-материалов в России, занимается разработкой и производством торговых, выставочных и рекламных конструкций, а также внедряет умные технологии сбора и анализа данных о трафике, поведении и предпочтениях покупателей.",1747,https://www.vitrina.ru/,"7 (495) 234-99-00, welcome@vitrina.ru",https://alladvertising.ru/top/pos/
ASCREEN,7804472253,"ООО ""АСКРИН""",Оформление мест продаж POS,Санкт-Петербург,"Компания ASCREEN занимается профессиональным обеспечением различных мероприятий проекционным, инсталляционным и демонстрационным оборудованием, мультимедиа комплексами. Интерактивные инсталляции, компьютерная графика, визуализация идей для конференций, экспозиций, презентаций и шоу, совещаний, учебных и деловых событий.",838,https://ascreen.ru/kontakty-ascreen,"7 (812) 457-08-62, info@ascreen.ru",https://alladvertising.ru/top/pos/
Эль Пако,7707505055,"ООО ""ЭЛЬ ПАКО""",Оформление мест продаж POS,Москва,"Компания «ЭЛЬ ПАКО» занимается изготовлением упаковки из гофрокартона, рекламных материалов из картона и пластика, а также проектированием сложных рекламных и упаковочных конструкций и штанц-бюро.",857,https://elpaco.ru/,"7 (495) 234-34-41, welcome@elpaco.ru",https://alladvertising.ru/top/pos/
DIXI PRO ,7718882418,"ООО ""ДИКСИ ПРО""",Оформление мест продаж POS,Москва,"РПК «DIXI PRO» оказывает полный спектр услуг в области оформления торговых пространств: разработка POS-материалов, изготовление специальных конструкций для ритейла, технический мерчандайзинг и т.д.",763,https://dixipro.ru/,"7 (499) 110-31-66, incor@dixipro.ru",https://alladvertising.ru/top/pos/
Zeytz ,7722713109,"ООО ""ЗЕЙТЦ ПРОДЖЕКТ""",Оформление мест продаж POS,Москва,"Группа ZEYTZ — эксперт в производстве рекламной, полиграфической, сувенирной и текстильной продукции, оформлении мест продаж, автоматизации рекламных поставок в федеральные сети. Компании принадлежат крупнейшая в России интерьерная латексная типография и швейный цех «Швейц» в Рязани.",812,https://www.zeytz.ru/,"7 (495) 662-97-85, welcome@zeytz.ru",https://alladvertising.ru/top/pos/
Insight,7726596481,"ООО ""ИНСАЙТ""",Оформление мест продаж POS,Москва,Компания Ins!ght осуществляет полный цикл услуг в сфере разработки и производства POS-материалов и рекламного оборудования для мест продаж.,711,https://insight.ru/,"7 (499) 769-26-06, info@insight.ru",https://alladvertising.ru/top/pos/
OPEN Group,7725693725,"ООО ""ОУПЕН МСК""",Оформление мест продаж POS,Москва,"Агентство маркетинговых коммуникаций OPEN специализируется в области немедийных коммуникаций и предоставляет полный комплекс интегрированных маркетинговых услуг: мерчандайзинг и промо-активности в местах продаж, торговый маркетинг, организация мероприятий, продвижение в digital-среде. Агентство активно внедряет инновационные технологии в управление персоналом и мерчандайзинг.",1571,https://open-com.ru/,"7 (499) 649-00-80, sales@open-com.ru",https://alladvertising.ru/top/pos/
Konica Minolta Marketing Services,7730165720,"ООО ""КОНИКА МИНОЛТА БИЗНЕС СОЛЬЮШНЗ РАША""",Оформление мест продаж POS,Москва,"Konica Minolta Marketing Services — эксперт в разработке и производстве POS-материалов, сувенирной и печатной рекламной продукции, а также специального торгового оборудования для FMCG-брендов и ритейла.",753,https://www.konicaminolta.ru/ru-ru/marketing-services,"7 (499) 553-12-12, ms@konicaminolta.r",https://alladvertising.ru/top/pos/
DEKA,7606007737,"ООО ""ДЕКА""",Оформление мест продаж POS,Ярославль,"Российская группа компаний DEKA специализируется на полном цикле производства POS-материалов: полочные и паллетные конструкции, рекламные cтойки и островные павильоны, промо-шкафы, дисплеи, накопители и т.д.",749,https://www.deka24.ru/,"8 800 222-41-94, mail@deka24.ru",https://alladvertising.ru/top/pos/
Intelligence,7735546790,"ООО ""ИНТЕЛЛИДЖЕНС""",Оформление мест продаж POS,Москва,"РПК «Intelligence» разрабатывает рекламные инсталляции и POS-материалы, производит наружную рекламу и торговое оборудование; занимается оформлением коммерческих и выставочных пространств; осуществляет широкоформатную печать и брендирование автотранспорта.",737,https://intelligence-adv.ru/,"7 (495) 023-88-88, info@in-adv.com",https://alladvertising.ru/top/pos/
Санкт-Петербургская Образцовая Типография,7825071848,"АО ""СПБ ОБРАЗЦОВАЯ ТИПОГРАФИЯ""",Оформление мест продаж POS,Санкт-Петербург,"Один из лидеров рынка в области производства упаковки для товаров, печати рекламной полиграфии и создании POS-материалов.",1437,https://print.spb.ru/,"7 (812) 607-19-15, sales@print.spb.ru",https://alladvertising.ru/top/pos/
Инел-Дисплей ,5008036720,ООО «Инел-Дисплей»,Оформление мест продаж POS,Москва,"Компания «ИНЕЛ-ДИСПЛЕЙ» является одним из лидеров на рынке производства продукции для для оформления торговых точек и мерчандайзинга, а также проектирования и изготовления эксклюзивных POS-материалов POS для брендов: оформление магазинов и мест продаж (ценникодержатели, рамки, покупательские корзины), стимулирующее покупательскую активность; эксклюзивные POSM-конструкции для продвижения брендов в ритейле (рекламные стойки, полочные дисплеи, шелфсистемы, табачное оборудование).",760,https://inel-display.ru/,"7 (499) 350-22-00, info@inel-display.ru",https://alladvertising.ru/top/pos/
Creon ,7734366435,"ООО ""СИ ДЖИ СИ""",Оформление мест продаж POS,Москва,"Агентство CREON реализует проекты в сфере рекламы и маркетинга: разрабатывает креативные концепции, организует масштабные федеральные и локальные BTL-мероприятия, реализует NCP-проекты, интегрирует бренды в мероприятия и т.д.",722,https://creon-cg.com/,"7 (499) 372-32-31, info@creon-cg.com",https://alladvertising.ru/top/pos/
Заметно ,781436982558,ИП Богуш Денис Валерьевич,Оформление мест продаж POS,Санкт-Петербург,"Компания «Заметно» специализируется на производстве всех видов рекламных конструкций: от фасадных вывесок до крышных установок, от пенопластовых букв до тонких световых панелей.",769,https://zametno.su/,"7 (812) 200-98-74,  info@zametno.su",https://alladvertising.ru/top/pos/
КРОС ,7703146687,"АО ""КРОС""",PR агентства,Москва,"«КРОС» — один из самых влиятельных игроков на российском рынке PR, занимающий лидирующие позиции в сфере консультирования государственных и корпоративных заказчиков. Основные направления деятельности компании - стратегический консалтинг, управление проектами в области интегрированных коммуникаций, развитие медиа- и digital-коммуникаций, Investor Relations и GR-сопровождение.",1133,https://www.cros.ru/ru/,"7 (495) 980-06-80, info@cros.ru",https://alladvertising.ru/top/pr/
Аймарс ,9701293584,"АО ""АЙМАРС МЕДИА""",PR агентства,Москва,"Коммуникационная группа «Аймарс» оказывает комплекс услуг в сфере PR и рекламы, реализует проекты в цифровой среде (SMM и SEO), организует промо-акции и различные деловые мероприятия. Кроме того, компания занимается организацией российско-китайских и других зарубежных проектов",1066,http://imars.ru/,"7 (495) 234-57-46, nb@imars.ru",https://alladvertising.ru/top/pr/
Eventum Premo,7701752869,"ООО ""ЕВЕНТУМ. КОНФЕРЕНЦИИ И СЕМИНАРЫ""",PR агентства,Москва,"Компания Eventum Premo занимает одно из лидирующих мест в сфере корпоративных и маркетинговых коммуникаций. Агентство специализируется на организации и проведении крупномасштабных мероприятий, создании инсталляций и пространственных интеграций, PR и поддержке участия в выставках, продвижении в цифровой среде.",805,https://eventum-premo.ru/,"7 (495) 785-84-46, go@eventum-premo.ru",https://alladvertising.ru/top/pr/
FleishmanHillard Vanguard,7706637764,"ООО ""ВЭНГАРД ПИАР""",PR агентства,Москва,"FleishmanHillard Vanguard – одна из крупнейших международных коммуникационных сетей, являющаяся совместным предприятием Omnicom Group и российского агентства Vanguard PR. Агентство специализируется на формировании и управлении общественной и корпоративной репутацией, а так же на развитии бизнес- и бренд-коммуникаций.",762,https://vanguardpr.ru/,"7 (495) 937-31-31, connect@fhv.ru",https://alladvertising.ru/top/pr/
Сидорин Лаб ,5010049251,"ООО ""СИДОРИН ЛАБ""",PR агентства,Москва,"Основные направления деятельности агентства Sidorin Lab — это комплексный интернет-маркетинг, SMM и управление репутацией; разработка, поисковая оптимизация и продвижение интернет-ресурсов. Компания зарекомендовала себя на рынке как лидер в области репутационного менеджмента при работе с крупными брендами, медийными и политическими персонами.",798,https://sidorinlab.ru/,"7 (495) 665-65-39, corp@sidorinlab.ru",https://alladvertising.ru/top/pr/
PRT ,7707845742,"ООО ""ПИ.АР. - ТЕКНОЛОДЖИС""",PR агентства,Москва,Агентство PRT Edelman Affiliate оказывает полный спектр услуг в области интегрированных маркетинговых коммуникаций и связей с общественностью в классических и цифровых медиа.,780,https://prt.ru/,"7 (499) 434-44-03, info@prt.ru",https://alladvertising.ru/top/pr/
Market Group,7725578793,"АО ""МАРКОМ""",PR агентства,Москва,"Коммуникационное агентство Market Group оказывает широкий спектр услуг в сферах PR и организации мероприятий, разработки и продвижения нестандартных проектов в цифровой среде.",741,https://themarketgroup.ru/,"7 (495) 137-70-25, info@themarketgroup.ru",https://alladvertising.ru/top/pr/
VINCI Agency,9729062516,"ООО ""АГЕНТСТВО МАССИРОВАННЫХ КОММУНИКАЦИЙ""",PR агентства,Москва,"VINCI Agency специализируется на PR-услугах — от аналитики и разработки стратегии, работе со СМИ и новыми медиа до организации конференций и семинаров, а также пресс-ивентов различного масштаба.",715,https://vincipr.com/,"7 912 061-03-00, hello@vincipr.com",https://alladvertising.ru/top/pr/
PromoAge,7716851975,"ООО ""ПРОМОЭЙДЖ""",PR агентства,Москва,Агентство PromoAge специализируется на разработке и реализации комплексных коммуникационных кампаний — от организации пресс-конференций до масштабных PR-кампаний в классических и цифровых медиа.,637,https://promoage.ru/,"7 (495) 796-84-86, welcome@promoage.ru",https://alladvertising.ru/top/pr/
GREATIVE,7751181321,"ООО ""ГРИЭЙТИВ""",PR агентства,Москва,"Коммуникационное агентство GREATIVE оказывает помощь в развитии бизнеса: PR и корпоративные коммуникации, комплексный маркетинг и консалтинг, организация бизнес-мероприятий и рекламных кампаний, брендинг и коммуникационный дизайн, контент-маркетинг и сотрудничество с лидерами мнений.",687,https://greative.pro/,"7 (495) 788-67-84, love@greative.pro",https://alladvertising.ru/top/pr/
Sobytie Communications,7717582845,"ООО ""КГ СОБЫТИЕ""",PR агентства,Москва,"Коммуникационная группа «Событие» оказывает весь спектр услуг на рынке маркетинговых коммуникаций: от разработки комплексных стратегий и креативных концепций до реализации медийных кампаний, PR, Event- и BTL-проектов.",680,https://so-bytie.ru/,"7 (495) 741-36-01,  info@so-bytie.ru",https://alladvertising.ru/top/pr/
N:OW,7707373225,"ООО ""НАУ""",PR агентства,Москва,"Агентство «N:OW» оказывает весь комплекс услуг в области коммуникаций и событийного маркетинга — от исследований, разработки идей, сценариев и механик, до организации мероприятий и полной интеграции брендов в крупные события.",555,https://now-agency.ru/,"7 953 435-91-63, hello@now-agency.ru",https://alladvertising.ru/top/pr/
Менделеев,7203596568,"ООО ""МЕНДЕЛЕЕВ""",PR агентства,Тюмень,"Коммуникационное агентство «МЕНДЕЛЕЕВ» предлагает экспертизу в интернет-маркетинге, веб-разработке, PR и GR, дизайне и продакшне. Команда агентства проводит исследования и разрабатывает стратегии, создаёт дизайн и контент, предлагает актуальные инструменты для продвижения бизнеса.",592,https://менделеев.рф/,"8 800 222-20-90, sales@mendeleevm.ru",https://alladvertising.ru/top/pr/
AGT Communications Group,7701268785,"ООО ""АГТ""",PR агентства,Москва,"Одна из крупнейших российских компаний на рынке связей с общественностью, имеющая разветвленную сеть дочерних компаний в регионах России и странах ближнего зарубежья",1403,https://agt.agency/,"7 (495) 624-03-01, info@agt-agency.ru",https://alladvertising.ru/top/pr/
Win2Win Communications,7714966378,"ООО ""ГРУППА КОМПАНИЙ ВИН ТУ ВИН КОММУНИКЕЙШНЗ""",PR агентства,Москва,"Коммуникационное агентство Win2Win Communications оказывает широкий спектр услуг по разработке и реализации стратегий взаимодействия с аудиторией, сотрудниками и партнерами.",589,https://win2win.ru/,"7 (495) 664-48-00,  info@win2win.ru",https://alladvertising.ru/top/pr/
COMUNICA ,7714826571,"ООО ""КОМЬЮНИТИ""",PR агентства,Москва,"Креативное агентство COMUNICA предлагает эффективные решения для продвижения бизнеса с помощью интегрированных PR и New Media инструментов, занимается исследованиями и стратегическим консалтингом в сфере внутрикорпоративных коммуникаций и PR во всех видах медиа",641,https://www.comunica.ru/,"7 (495) 937-19-14,  mail@comunica.ru",https://alladvertising.ru/top/pr/
Redline PR,502478137235,ИП Кириченко Анна Александровна,PR агентства,Москва,Коммуникационное агентство Redline PR специализируется на оказании полного цикла услуг для среднего и крупного бизнеса на территории России и в странах СНГ.,568,https://redline-pr.ru/,"7 926 579-88-17, pr@redline-pr.ru",https://alladvertising.ru/top/pr/
Infomost Communications,7704782043,"ООО ""ИНФОМОСТ"" ",PR агентства,Москва,"PR-агентство Infomost Communications оказывает комплекс услуг в области корпоративных и финансовых коммуникаций, занимается работой со СМИ и цифровыми медиа, создаёт годовые отчёты, работает над выстраиванием деловой репутации.",651,https://im-com.ru/,"7 (495) 532-28-25, info@im-com.ru",https://alladvertising.ru/top/pr/
2L,5047152336,ООО «ПРЕМИКОМ»,PR агентства,Москва,"Коммуникационное агентство полного цикла «2L» оказывает широкий спектр услуг в области маркетинга и PR, специализируясь на сопровождении IT-брендов.",631,https://2l-pr.ru/,"7 (499) 322-20-74, sales@2l-pr.ru",https://alladvertising.ru/top/pr/
ДругМедиа ,1660173763,ООО «ДругМедиа»,PR агентства,Казань,"Бюро «ДругМедиа» оказывает полный спектр услуг в сфере маркетинга и PR в социальных медиа и блогосфере: развитие и продвижение сообществ (SMM); размещение таргетированной рекламы и публикаций в группах; проведение конкурсов, мониторинг и работа с репутацией (SERM), вирусные кампании.",651,https://drugmedia.ru/,"7 (843) 202-42-41, privet@drugmedia.ru",https://alladvertising.ru/top/pr/
